Marathon,RaceOne,RaceOneKM,RaceOneResultInSecondsNormalized,TimeBetweenMarathonAndRaceOne,RaceTwo,RaceTwoKM,RaceTwoResultInSecondsNormalized,TimeBetweenRaceOneAndRaceTwo,MarathonResultInSeconds,MarathonResultInSecondsNormalized,ImprovementRate,ImprovementClass,RunnerID,MarathonDate,MarathonResult,RaceOneResult,RaceOneResultInSeconds,RaceTwoResult,RaceTwoResultInSeconds
מרתון סמסונג תל-אביב ,חצי מרתון עמק המעיינות,21097,0.20636562105021258,-84.0,מרוץ חיפה ,21097,0.1800323549803559,-28.0,11953,0.23067908066931442,0.037480092654030184,,2570.0,2018-02-23,03:19:13,01:35:11,5711,01:31:56,5516
מרתון סמסונג תל-אביב ,חצי מרתון עמק המעיינות,21097,0.13696426519590946,-84.0,מרוץ אייל ,15000,0.11873653984206747,-20.0,11416,0.19571586691841916,0.0678654643994307,,2575.0,2018-02-23,03:10:16,01:25:07,5107,01:00:01,3601
מרתון סמסונג תל-אביב ,מרתון טבריה Winner ,42195,0.2652374670184697,-49.0,חצי מרתון עמק המעיינות,21097,0.17718028266115132,-35.0,12238,0.249234976235432,0.028026101395621505,,2576.0,2017-02-24,03:23:58,03:24:21,12261,01:30:57,5457
מרתון סמסונג תל-אביב ,חצי מרתון עמק המעיינות,21097,0.12489945995633689,-84.0,מרוץ אייל ,15000,0.10696338837042355,-20.0,12177,0.24526336350022787,0.12933193933684767,,2577.0,2018-02-23,03:22:57,01:23:22,5002,00:58:39,3519
מרתון סמסונג תל-אביב ,חצי מרתון עמק המעיינות,21097,0.1694817878892336,-84.0,"מרוץ הספארי רמת גן ע""ש דוד מלמדוביץ'",10000,0.17829193603266416,-28.0,11300,0.18816329188098183,0.014276429920032946,,2579.0,2018-02-23,03:08:20,01:29:50,5390,00:39:42,2382
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,21097,0.21648697643354642,-21.0,מרתון טבריה Winner ,42195,0.26022427440633245,-49.0,14094,0.3708478882184821,0.13249226279854265,,2584.0,2016-03-18,03:54:54,01:38:11,5891,03:23:05,12185
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,42195,0.23432515137704277,-21.0,מרתון טבריה Winner ,42195,0.25237467018469656,-49.0,12209,0.2511273420133376,0.007777431232467935,,2591.0,2016-03-18,03:23:29,03:20:09,12009,03:21:06,12066
Jerusalem Marathon,מרתון סמסונג תל-אביב ,42195,0.1470147796080474,-14.0,חצי מרתון עמק המעיינות,21097,0.12352062507181431,-84.0,10983,0.16889880952380953,0.033631107183878683,,2599.0,2018-03-09,03:03:03,02:57:48,10668,01:23:10,4990
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.21165115477421578,-35.0,ספורטיאדה ריצה ואופניים יום I,5000,0.10308764940239044,-30.0,11839,0.23740105540897097,0.08003165332066786,,2602.0,2017-01-06,03:17:19,01:35:57,5757,00:20:33,1233
מרתון סמסונג תל-אביב ,International Tiberias Winner Marathon ,42195,0.19919977136324665,-47.0,מרוץ אייל ,15000,0.3013639626704953,-57.0,10520,0.1373787355947653,-0.1129031314221057,,2609.0,2018-02-23,02:55:20,03:05:03,11103,01:21:13,4873
מרתון סמסונג תל-אביב ,חצי מרתון עמק המעיינות,21097,0.17534183614845456,-84.0,מרוץ אייל ,15000,0.2183776022972003,-20.0,11508,0.20170584022397292,0.004846121001145509,,2624.0,2018-02-23,03:11:48,01:30:41,5441,01:11:35,4295
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.163277030908882,-35.0,מרוץ אשדוד אליפות ישראל,5000,0.051222351571594875,-31.0,11462,0.212532981530343,0.10528329029010457,,2630.0,2017-01-06,03:11:02,01:28:56,5336,00:18:49,1129
מרתון טבריה Winner ,מרוץ הלילה של תל-אביב,10000,0.4697948328267477,-51.0,מרוץ אייל ,15000,0.48413496051687005,-4.0,13554,0.35052770448548815,-0.1264371921863207,,2633.0,2017-01-06,03:45:54,01:13:23,4403,01:42:26,6146
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.18074227277950133,-35.0,מרוץ אייל ,15000,0.15376884422110554,-20.0,11982,0.24683377308707125,0.07957821458676781,,2643.0,2017-01-06,03:19:42,01:31:28,5488,01:04:05,3845
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,42195,0.29455042646005597,-21.0,"מרוץ הערבה ע""ש יוני פרידמן",10000,0.011834319526627219,-27.0,12771,0.2868212130835186,0.133628840090177,,2645.0,2016-03-18,03:32:51,03:35:34,12934,00:39:47,2387
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.1377685855452143,-35.0,מרוץ הלילה של תל-אביב,10000,0.07598784194528875,-16.0,11351,0.20521108179419525,0.09833286804894373,,2649.0,2017-01-06,03:09:11,01:25:14,5114,00:38:50,2330
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,42195,0.24246370206393644,-21.0,מרתון טבריה Winner ,42195,0.22671503957783642,-49.0,12662,0.27989838043823434,0.045309009617347906,,2652.0,2016-03-18,03:31:02,03:22:14,12134,03:14:37,11677
מרתון טבריה Winner ,מרוץ הלילה של תל-אביב,10000,0.18901975683890576,-51.0,מרוץ אייל ,15000,0.16554199569274947,-4.0,11321,0.20323218997361478,0.025951313707787166,,2663.0,2017-01-06,03:08:41,00:48:45,2925,01:05:27,3927
מרתון סמסונג תל-אביב ,חצי מרתון עמק המעיינות,21097,0.15879581753418362,-84.0,מרוץ אייל ,15000,0.14659009332376166,-20.0,11340,0.19076762810078782,0.03807467267181516,,2665.0,2017-02-24,03:09:00,01:28:17,5297,01:03:15,3795
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.1754567390554981,-35.0,מרוץ אייל ,15000,0.14989231873653985,-20.0,11989,0.24729551451187334,0.08462098561585438,,2666.0,2017-01-06,03:19:49,01:30:42,5442,01:03:38,3818
מרתון סמסונג תל-אביב ,מרתון טבריה Winner ,42195,0.16180738786279683,-49.0,מרוץ אייל ,15000,0.13079684134960518,-55.0,10791,0.1550231134839508,0.00872099887774977,,2669.0,2017-02-24,02:59:51,02:58:13,10693,01:01:25,3685
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,21097,0.186146360080145,-21.0,מרתון טבריה Winner ,42195,0.22236147757255936,-49.0,12210,0.2511908542394411,0.04693693541308891,,2671.0,2016-03-18,03:23:30,01:32:53,5573,03:13:31,11611
מרתון טבריה Winner ,מרוץ התחתונים ה-6,5000,0.08326967150496563,-7.0,חצי מרתון עמק המעיינות,21097,0.17821440882454326,-28.0,11611,0.22236147757255936,0.09161943740780493,,2673.0,2017-01-06,03:13:31,00:20:00,1200,01:31:06,5466
מרתון סמסונג תל-אביב ,מרתון טבריה Winner ,42195,0.18515831134564645,-49.0,חצי מרתון עמק המעיינות,21097,0.14673101229461105,-35.0,10979,0.16726349371703886,0.001318831896910122,,2699.0,2017-02-24,03:02:59,03:04:07,11047,01:26:32,5192
Jerusalem Marathon,מרתון סמסונג תל-אביב ,42195,0.21427176248453675,-14.0,Desert Marathon ,42195,0.4028552674762061,-98.0,12076,0.2428300865800866,-0.06573342840028484,,2707.0,2018-03-09,03:21:16,03:15:01,11701,03:34:48,12888
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.12915086751694818,-35.0,מרוץ אשדוד אליפות ישראל,10000,0.14063955293387148,-31.0,10816,0.16992084432717677,0.03502563410176693,,2713.0,2017-01-06,03:00:16,01:23:59,5039,00:39:10,2350
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.1213374698379869,-35.0,מרוץ הלילה של תל-אביב,10000,0.19490881458966566,-16.0,10822,0.17031662269129288,0.0121934804774666,,2714.0,2017-01-06,03:00:22,01:22:51,4971,00:49:16,2956
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.16408135125818682,-35.0,חצי מרתון חיפה ה-19,21097,0.21488411058363585,-28.0,11352,0.20527704485488127,0.015794313933969933,,2722.0,2017-01-06,03:09:12,01:29:03,5343,01:33:55,5635
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.1425945076410433,-35.0,מרוץ אייל ,15000,0.1198851399856425,-20.0,10777,0.16734828496042217,0.036108461147079274,,2728.0,2017-01-06,02:59:37,01:25:56,5156,01:00:09,3609
Jerusalem Marathon,חצי מרתון עמק המעיינות,21097,0.17051591405262553,-98.0,מרוץ אייל ,15000,0.13553481694185213,-20.0,12268,0.2558170995670996,0.10279173406986075,,2731.0,2018-03-09,03:24:28,01:29:59,5399,01:01:58,3718
מרתון סמסונג תל-אביב ,חצי מרתון עמק המעיינות,21097,0.13673445938182235,-84.0,מרוץ אייל ,15000,0.11773151471643933,-20.0,10738,0.15157236799270785,0.024339380943577016,,2746.0,2018-02-23,02:58:58,01:25:05,5105,00:59:54,3594
מרתון סמסונג תל-אביב ,מרתון טבריה Winner ,42195,0.16846965699208444,-49.0,חצי מרתון עמק המעיינות,21097,0.12604848902677238,-35.0,11015,0.16960739631486424,0.02234832330543582,,2759.0,2017-02-24,03:03:35,02:59:54,10794,01:23:32,5012
מרתון סמסונג תל-אביב ,חצי מרתון עמק המעיינות,21097,0.14201999310582558,-84.0,מרוץ אייל ,15000,0.12089016511127064,-20.0,11021,0.16999804674783514,0.038542967639287024,,2760.0,2018-02-23,03:03:41,01:25:51,5151,01:00:16,3616
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.08583247156153051,-35.0,מרוץ אייל ,15000,0.06647523330940416,-20.0,9840,0.10554089709762533,0.029387044662157996,,2766.0,2017-01-06,02:44:00,01:17:42,4662,00:53:57,3237
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.1342065954268643,-35.0,מרוץ אייל ,15000,0.11643933955491745,-20.0,10664,0.15989445910290237,0.03457149161201148,,2769.0,2017-01-06,02:57:44,01:24:43,5083,00:59:45,3585
מרתון סמסונג תל-אביב ,מרתון טבריה Winner ,42195,0.24406332453825857,-49.0,חצי מרתון עמק המעיינות,21097,0.14018154659312881,-35.0,11283,0.1870564489875643,-0.0050659865781294,,2770.0,2017-02-24,03:08:03,03:19:00,11940,01:25:35,5135
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.17051591405262553,-35.0,מרוץ אייל ,15000,0.08040201005025126,-20.0,11352,0.20527704485488127,0.07981808280344288,,2775.0,2017-01-06,03:09:12,01:29:59,5399,00:55:34,3334
Jerusalem Marathon,מרתון סמסונג תל-אביב ,21097,0.35149317813185765,-14.0,Desert Marathon ,21097,0.008858376702469273,-98.0,11044,0.17302489177489178,-0.007150885642271676,,2781.0,2018-03-09,03:04:04,02:01:46,7306,01:25:27,5127
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.11501780995059176,-35.0,מרוץ אייל ,15000,0.09691313711414214,-20.0,10262,0.133377308707124,0.02741183517475705,,2784.0,2017-01-06,02:51:02,01:21:56,4916,00:57:29,3449
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.12168217855911755,-35.0,מרוץ אייל ,15000,0.10093323761665471,-20.0,10701,0.16233509234828497,0.05102738426039885,,2799.0,2017-01-06,02:58:21,01:22:54,4974,00:57:57,3477
מרתון טבריה Winner ,"המרתון המדברי, אילת ",42195,0.05657769715815842,-49.0,בשביל הבנים הדרוזים,15000,0.08053408292340127,-56.0,10449,0.14571240105540897,0.07715651101462913,,2807.0,2017-01-06,02:54:09,03:08:50,11330,01:03:51,3831
מרתון סמסונג תל-אביב ,מרוץ ראשון לציון ,15000,0.09467359532315688,-21.0,מרתון טבריה Winner ,42195,0.145844327176781,-28.0,10372,0.12774269158148316,0.007483730331514227,,2810.0,2017-02-24,02:52:52,00:54:44,3284,02:54:11,10451
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.14879926462139492,-35.0,מרוץ ספארי רמת-גן,10000,0.1895870736086176,-21.0,11428,0.21029023746701847,0.04109706835201221,,2813.0,2017-01-06,03:10:28,01:26:50,5210,00:39:18,2358
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.10800873262093531,-35.0,חצי מרתון חיפה ה-19,21097,0.12733873219771014,-28.0,10250,0.13258575197889183,0.014912019569569113,,2818.0,2017-01-06,02:50:50,01:20:55,4855,01:23:28,5008
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.10456164540962887,-35.0,מרוץ אייל ,15000,0.08126346015793252,-20.0,10059,0.1199868073878628,0.02707425460408211,,2823.0,2017-01-06,02:47:39,01:20:25,4825,00:55:40,3340
מרתון טבריה Winner ,מרוץ הלילה של תל-אביב,10000,0.21238601823708206,-51.0,מרוץ אייל ,15000,0.11428571428571428,-4.0,11658,0.2254617414248021,0.062125875163403926,,2824.0,2017-01-06,03:14:18,00:50:48,3048,00:59:30,3570
Jerusalem Marathon,מרתון סמסונג תל-אביב ,42195,0.7409987629402955,-14.0,International Tiberias Winner Marathon ,42195,0.6999857102029151,-47.0,21195,0.8596455627705628,0.13915332619895748,,2827.0,2018-03-09,05:53:15,05:29:51,19791,05:01:52,18112
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,42195,0.5032228660720099,-21.0,חצי מרתון עמק המעיינות,21097,0.3537860507870849,-84.0,17548,0.5902191171800572,0.16171465875050972,,2828.0,2017-03-17,04:52:28,04:28:59,16139,01:56:34,6994
Jerusalem Marathon,מרתון סמסונג תל-אביב ,21097,0.41694494800114495,-14.0,חצי מרתון השרון ,21097,0.5216185348343939,-91.0,18700,0.6908820346320347,0.22160029321426522,,2856.0,2018-03-09,05:11:40,02:13:12,7992,02:12:43,7963
"המרתון המדברי, אילת ",מרוץ אייל ,15000,0.3455850681981335,-6.0,מרוץ חבר,15000,0.24301603724780135,-36.0,18425,0.6694307679018744,0.375130215178907,,2857.0,2016-11-18,05:07:05,01:26:21,5181,01:24:28,5068
מרתון סמסונג תל-אביב ,"מרוץ ראשון לציון, אליפות הארץ ל 15 ק""מ",15000,0.3942598187311178,-21.0,מרתון טבריה Winner ,42195,0.5907651715039578,-28.0,15703,0.47483560127612473,-0.017676893841413077,,2884.0,2016-02-26,04:21:43,01:20:53,4853,04:46:36,17196
Jerusalem Marathon,מרתון סמסונג תל-אביב ,42195,0.6865681359463507,-14.0,חצי מרתון עמק המעיינות,21097,0.4808686659772492,-84.0,18575,0.682426948051948,0.09870854709014809,,2885.0,2018-03-09,05:09:35,05:15:55,18955,02:15:00,8100
מרתון סמסונג תל-אביב ,"מרוץ ראשון לציון, אליפות הארץ ל 15 ק""מ",15000,0.4814954682779456,-21.0,מרתון טבריה Winner ,42195,0.5922823218997362,-28.0,17433,0.5874731427827332,0.05058424769389236,,2886.0,2016-02-26,04:50:33,01:28:35,5315,04:46:59,17219
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,42195,0.3439677062308744,-21.0,מרתון טבריה Winner ,10000,0.15519968366943457,-49.0,15581,0.4652905684344236,0.21570687348426915,,2894.0,2017-03-17,04:19:41,03:48:13,13693,00:44:23,2663
מרתון סמסונג תל-אביב ,חצי מרתון עמק המעיינות,21097,0.3565437205561301,-84.0,מרוץ הלילה של תל-אביב,10000,0.23290273556231003,-16.0,16915,0.5537469887362458,0.25902376067702576,,2900.0,2017-02-24,04:41:55,01:56:58,7018,00:52:36,3156
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.22854188210961737,-35.0,מרוץ הלילה של תל-אביב,10000,0.2944528875379939,-16.0,13739,0.36273087071240107,0.10123348588859543,,2914.0,2017-01-06,03:48:59,01:38:24,5904,00:58:00,3480
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,42195,0.5430692102350413,-21.0,מרוץ ראשון לציון ,15000,0.3484897694056512,-21.0,17881,0.611368688472531,0.1655891986521848,,2924.0,2017-03-17,04:58:01,04:39:11,16751,01:20:47,4847
Jerusalem Marathon,מרתון סמסונג תל-אביב ,42195,0.6192460446643662,-14.0,Desert Marathon ,21097,0.44424759162883404,-98.0,19014,0.7121212121212122,0.18037439397461208,,2947.0,2018-03-09,05:16:54,04:58:41,17921,02:30:59,9059
Jerusalem Marathon,חצי מרתון עמק המעיינות,21097,0.3903251752269332,-98.0,מרוץ אייל ,15000,0.35922469490308684,-20.0,19427,0.7400568181818182,0.3652818831168082,,2954.0,2018-03-09,05:23:47,02:01:52,7312,01:27:56,5276
מרתון טבריה Winner ,מרוץ חבר,15000,0.3986032074495603,-91.0,בשביל הבנים הדרוזים,15000,0.47111735769501056,-14.0,17991,0.6432058047493404,0.208345522177055,,2972.0,2017-01-06,04:59:51,01:44:31,6271,01:50:10,6610
מרתון טבריה Winner ,חצי מרתון השרון ,21097,0.49861315059552946,-28.0,מרוץ הלילה של תל-אביב,10000,0.2931231003039514,-23.0,19282,0.7283641160949869,0.33249599064524643,,2974.0,2017-01-06,05:21:22,02:10:22,7822,00:57:53,3473
מרתון סמסונג תל-אביב ,חצי מרתון עמק המעיינות,21097,0.3480409054349075,-84.0,מרוץ אייל ,15000,0.31902368987796126,-20.0,15623,0.4696269288365128,0.13609463118007842,,2975.0,2018-02-23,04:20:23,01:55:44,6944,01:23:16,4996
מרתון סמסונג תל-אביב ,מרוץ התחתונים ה-6,10000,0.8604722477767556,-56.0,חצי מרתון עמק המעיינות,21097,0.3999770194185913,-28.0,18681,0.6687284328406797,0.03850379924300629,,2999.0,2017-02-24,05:11:21,01:21:30,4890,02:03:16,7396
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,42195,0.70590533237841,-21.0,מרתון טבריה Winner ,42195,0.7678759894459103,-49.0,20240,0.7611940298507462,0.02430336893858609,,3007.0,2017-03-17,05:37:20,05:20:52,19252,05:31:21,19881
Desert Marathon ,מרוץ חיפה ,10000,0.22903021339530952,-14.0,מרוץ הלילה של נהריה ,10000,0.2925350511557408,-24.0,15550,0.8396783721693469,0.5788957398938217,,3024.0,2017-11-17,04:19:10,00:51:02,3062,00:49:29,2969
מרתון סמסונג תל-אביב ,מרוץ ראשון לציון ,15000,0.30561870737252356,-21.0,חצי מרתון עמק המעיינות,21097,0.3506836722969091,-63.0,15318,0.4497688651604922,0.12161767532577583,,3029.0,2017-02-24,04:15:18,01:16:23,4583,01:56:07,6967
מרתון סמסונג תל-אביב ,מרתון טבריה Winner ,42195,0.6494722955145119,-49.0,חצי מרתון עמק המעיינות,21097,0.38503964150293,-35.0,17975,0.6227618985611042,0.10550593005238318,,3034.0,2017-02-24,04:59:35,05:01:26,18086,02:01:06,7266
מרתון סמסונג תל-אביב ,מרתון טבריה Winner ,42195,0.7755277044854881,-49.0,חצי מרתון חיפה ה-19,21097,0.8112259145490086,-63.0,20378,0.7792173969659483,-0.014159412551300155,,3056.0,2017-02-24,05:39:38,05:33:17,19997,02:45:06,9906
Jerusalem Marathon ,מרתון טבריה Winner ,10000,0.2846975088967972,-70.0,"המרתון המדברי, אילת ",42195,0.7972704500302323,-49.0,17845,0.6090822483328041,0.06809826886928938,,3067.0,2017-03-17,04:57:25,00:55:18,3318,05:31:45,19905
מרתון סמסונג תל-אביב ,מרוץ אייל ,15000,0.385929648241206,-104.0,מרוץ הלילה של תל-אביב ,10000,0.3317686819376643,-11.0,18277,0.6424246370206393,0.2835754719312042,,3080.0,2018-02-23,05:04:37,01:31:02,5462,01:00:28,3628
Jerusalem Marathon,מרתון סמסונג תל-אביב ,42195,0.606094146754346,-14.0,מרוץ אייל ,15000,0.433883704235463,-104.0,19176,0.7230790043290043,0.2030900788340998,,3087.0,2018-03-09,05:19:36,04:55:19,17719,01:36:36,5796
מרתון סמסונג תל-אביב ,מרוץ אייל ,15000,0.47279253409906674,-104.0,מרוץ הלילה של תל-אביב ,10000,0.5585805482538491,-11.0,17702,0.6049873038609285,0.08930076268447051,,3102.0,2018-02-23,04:55:02,01:41:07,6067,01:20:36,4836
מרתון סמסונג תל-אביב ,מרתון טבריה Winner ,42195,0.7797493403693931,-49.0,מרוץ הלילה של תל-אביב,10000,0.4469984802431611,-51.0,20475,0.7855329122989778,0.17215900199270073,,3110.0,2017-02-24,05:41:15,05:34:21,20061,01:11:23,4283
מרתון סמסונג תל-אביב ,מרתון טבריה Winner ,42195,0.8280343007915567,-49.0,חצי מרתון עמק המעיינות,21097,0.6710329771343215,-35.0,20961,0.8171755973696204,0.0676419584066813,,3112.0,2017-02-24,05:49:21,05:46:33,20793,02:42:35,9755
מרתון סמסונג תל-אביב ,חצי מרתון עמק המעיינות,21097,0.34792600252786393,-84.0,מרוץ אייל ,15000,0.2801148600143575,-20.0,15678,0.473207891138746,0.15918745986763533,,3114.0,2018-02-23,04:21:18,01:55:43,6943,01:18:45,4725
מרתון סמסונג תל-אביב ,חצי מרתון עמק המעיינות,21097,0.137079168102953,-84.0,מרוץ אייל ,15000,0.11902368987796123,-20.0,11422,0.19610651735139006,0.06805508836093294,,3122.0,2018-02-23,03:10:22,01:25:08,5108,01:00:03,3603
מרתון סמסונג תל-אביב ,מרוץ ראשון לציון ,15000,0.6614160441701852,-21.0,מרוץ התחתונים ה-6,10000,0.7721557804354493,-35.0,21780,0.8704993814701478,0.15371346916733053,,3125.0,2017-02-24,06:03:00,01:52:54,6774,01:16:42,4602
מרתון סמסונג תל-אביב ,מרתון טבריה Winner ,42195,0.7805408970976253,-49.0,חצי מרתון עמק המעיינות,21097,0.6216247271055958,-35.0,20525,0.7887883325737353,0.08770552047212465,,3214.0,2017-02-24,05:42:05,05:34:33,20073,02:35:25,9325
מרתון סמסונג תל-אביב ,חצי מרתון עמק המעיינות,21097,0.3960703205791106,-84.0,מרוץ אייל ,15000,0.557932519741565,-20.0,19484,0.7210104824532847,0.2440090622929469,,3217.0,2018-02-23,05:24:44,02:02:42,7362,01:51:00,6660
Jerusalem Marathon ,מרוץ הגליל העליון ה-3,15000,0.5555902560899438,-14.0,חצי מרתון עמק המעיינות,21097,0.4214638630357348,-91.0,19031,0.6844077484915846,0.19588068892874527,,3335.0,2017-03-17,05:17:11,01:24:32,5072,02:06:23,7583
Jerusalem Marathon,מרתון סמסונג תל-אביב ,42195,0.6301191483820561,-14.0,חצי מרתון עמק המעיינות,21097,0.34264046880386073,-84.0,21092,0.8526785714285714,0.366298762835613,,3346.0,2018-03-09,05:51:32,05:01:28,18088,01:54:57,6897
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,42195,0.5127938016797968,-21.0,מרתון טבריה Winner ,42195,0.6563984168865435,-49.0,17786,0.6053350269926961,0.02073891770952596,,3376.0,2017-03-17,04:56:26,04:31:26,16286,05:03:11,18191
מרתון טבריה Winner ,"המרתון המדברי, אילת ",42195,0.2422907488986784,-49.0,מרוץ כוכב יאיר צור יגאל ,10000,0.21863914866172202,-14.0,12692,0.2936675461741425,0.06320259739394227,,3488.0,2017-01-06,03:31:32,03:44:40,13480,00:45:01,2701
מרתון סמסונג תל-אביב ,מרתון טבריה Winner ,42195,0.45850923482849604,-49.0,חצי מרתון עמק המעיינות,21097,0.24979891991267378,-35.0,15324,0.4501595155934631,0.09600543822287821,,3490.0,2017-02-24,04:15:24,04:13:11,15191,01:41:29,6089
Jerusalem Marathon,מרתון סמסונג תל-אביב ,42195,0.5530959046812943,-14.0,מרוץ אייל ,15000,0.2770997846374731,-104.0,16618,0.5500541125541125,0.1349562678947288,,3521.0,2018-03-09,04:36:58,04:41:45,16905,01:18:24,4704
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.07215902562334828,-35.0,"המרתון המדברי, אילת ",21097,0.016652702136573105,-14.0,9603,0.08990765171503957,0.04550178783507888,,3531.0,2017-01-06,02:40:03,01:15:43,4543,01:20:26,4826
מרתון סמסונג תל-אביב ,חצי מרתון עמק המעיינות,21097,0.09904630587153855,-84.0,מרוץ אייל ,15000,0.09188801148600144,-20.0,10937,0.1645289406862426,0.06906178200747261,,3551.0,2018-02-23,03:02:17,01:19:37,4777,00:56:54,3414
מרתון טבריה Winner ,מרוץ התחתונים ה-6,10000,0.07421036491873659,-7.0,מרוץ אייל ,15000,0.0977745872218234,-48.0,10647,0.1587730870712401,0.07278061100096012,,3558.0,2017-01-06,02:57:27,00:38:46,2326,00:57:35,3455
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,10000,0.08219434562815953,-21.0,מרוץ ראשון לציון ,15000,0.12211757063981812,-21.0,10857,0.16525881232137185,0.06310285418738303,,3563.0,2017-03-17,03:00:57,00:37:55,2275,00:57:33,3453
מרתון סמסונג תל-אביב ,מרתון טבריה Winner ,42195,0.15131926121372033,-49.0,מרוץ הלילה של תל-אביב,10000,0.24506079027355623,-51.0,14874,0.42086073312064587,0.2226707073770076,,3567.0,2017-02-24,04:07:54,02:55:34,10534,00:53:40,3220
מרתון טבריה Winner ,מרוץ אייל ,15000,0.16267049533381192,-55.0,מרוץ בית יצחק,10000,0.10923014913341395,-29.0,11680,0.22691292875989447,0.09096260652628155,,3582.0,2017-01-06,03:14:40,01:05:07,3907,00:41:39,2499
מרתון סמסונג תל-אביב ,חצי מרתון עמק המעיינות,21097,0.19131334022750776,-84.0,מרוץ אשדוד אליפות ישראל,10000,0.221670288730208,-31.0,12164,0.24441695422879095,0.03792513974993306,,3608.0,2017-02-24,03:22:44,01:33:00,5580,00:43:31,2611
מרתון טבריה Winner ,מרוץ אייל ,15000,0.2038765254845657,-55.0,בשביל הבנים הדרוזים,10000,0.1563427666732634,-50.0,15039,0.44848284960422163,0.2683732035253071,,3614.0,2017-01-06,04:10:39,01:09:54,4194,00:48:10,2890
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,42195,0.21746207435379908,-21.0,חצי מרתון עמק המעיינות,21097,0.22199241640813513,-84.0,12387,0.262432518259765,0.042705272878797884,,3627.0,2017-03-17,03:26:27,03:15:50,11750,01:37:27,5847
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.2009651844191658,-35.0,מרוץ אייל ,15000,0.17745872218234027,-20.0,12596,0.28733509234828497,0.09812313904753195,,3646.0,2017-01-06,03:29:56,01:34:24,5664,01:06:50,4010
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,21097,0.1938746302833699,-21.0,מרתון טבריה Winner ,10000,0.16370106761565836,-49.0,12864,0.2927278501111464,0.11394000116163225,,3660.0,2016-03-18,03:34:24,01:34:14,5654,00:45:06,2706
מרתון טבריה Winner ,מרוץ התחתונים ה-6,10000,0.21404477154247165,-7.0,חצי מרתון עמק המעיינות,21097,0.22555440652648512,-28.0,12665,0.29188654353562005,0.07208695450114166,,3685.0,2017-01-06,03:31:05,00:46:22,2782,01:37:58,5878
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,21097,0.41828069840664056,-21.0,מרתון טבריה Winner ,10000,0.5013839462238039,-49.0,16968,0.5533820260400127,0.09354970372479054,,3825.0,2016-03-18,04:42:48,02:13:26,8006,01:13:34,4414
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.6041594852349764,-35.0,מרוץ אייל ,15000,0.6521177315147164,-20.0,21746,0.8908970976253299,0.2627584892504835,,3843.0,2017-01-06,06:02:26,02:32:53,9173,02:01:56,7316
מרתון סמסונג תל-אביב ,חצי מרתון עמק המעיינות,21097,0.10651499482936919,-84.0,מרוץ אייל ,15000,0.08571428571428572,-20.0,11341,0.19083273650628296,0.09471809623445551,,3898.0,2017-02-24,03:09:01,01:20:42,4842,00:56:11,3371
מרתון סמסונג תל-אביב ,חצי מרתון עמק המעיינות,21097,0.4822475008617718,-84.0,מרוץ אייל ,15000,0.4238334529791816,-20.0,16754,0.5432645354515268,0.09022405853105003,,3922.0,2018-02-23,04:39:14,02:15:12,8112,01:35:26,5726
