Marathon,RaceOne,RaceOneKM,RaceOneResultInSecondsNormalized,TimeBetweenMarathonAndRaceOne,RaceTwo,RaceTwoKM,RaceTwoResultInSecondsNormalized,TimeBetweenRaceOneAndRaceTwo,MarathonResultInSeconds,MarathonResultInSecondsNormalized,ImprovementRate,ImprovementClass,RunnerID,MarathonDate,MarathonResult,RaceOneResult,RaceOneResultInSeconds,RaceTwoResult,RaceTwoResultInSeconds
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,42195,0.3106322026173579,-21.0,מרתון טבריה Winner ,42195,0.3939973614775726,-49.0,16945,0.5519212448396317,0.19960646279216643,,1278.0,2017-03-17,04:42:25,03:39:41,13181,03:56:53,14213
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.2222222222222222,-35.0,מרוץ אייל ,15000,0.17961234745154342,-20.0,12233,0.2633905013192612,0.06247321648237841,,1285.0,2017-01-06,03:23:53,01:37:29,5849,01:07:05,4025
מרתון סמסונג תל-אביב ,חצי מרתון עמק המעיינות,21097,0.24692634723658508,-84.0,מרוץ אייל ,15000,0.2870064608758076,-20.0,14409,0.3905853245654014,0.12361892050920509,,1286.0,2018-02-23,04:00:09,01:41:04,6064,01:19:33,4773
Jerusalem Marathon ,מרתון טבריה Winner ,42195,0.3395778364116095,-70.0,חצי מרתון עמק המעיינות,21097,0.25749741468459153,-35.0,13738,0.34823753572562716,0.049699910177526674,,1300.0,2017-03-17,03:48:58,03:43:08,13388,01:42:36,6156
מרתון סמסונג תל-אביב ,חצי מרתון עמק המעיינות,21097,0.23474663908996898,-84.0,מרוץ אייל ,15000,0.21435750179468774,-20.0,12625,0.27443192916205483,0.04987985871972647,,1303.0,2017-02-24,03:30:25,01:39:18,5958,01:11:07,4267
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.166839021027232,-35.0,מרוץ אייל ,15000,0.1527638190954774,-20.0,12017,0.2491424802110818,0.08934106014972709,,1306.0,2017-01-06,03:20:17,01:29:27,5367,01:03:58,3838
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.2045271745375158,-35.0,מרוץ אייל ,15000,0.17645369705671213,-20.0,12344,0.27071240105540895,0.080221965258295,,1307.0,2017-01-06,03:25:44,01:34:55,5695,01:06:43,4003
מרתון סמסונג תל-אביב ,חצי מרתון עמק המעיינות,21097,0.12650810065494658,-84.0,מרוץ חיפה ,21097,0.12260226484862491,-28.0,11061,0.17260238296764113,0.04804720021585539,,1312.0,2018-02-23,03:04:21,01:23:36,5016,01:23:39,5019
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,42195,0.3308158083208542,-21.0,"המרתון המדברי, אילת ",21097,0.17050691244239632,-98.0,13963,0.36252778659892027,0.11186642621729498,,1318.0,2017-03-17,03:52:43,03:44:51,13491,01:44:55,6295
Jerusalem Marathon ,מרוץ נס ציונה,10000,0.16501726121979288,-34.0,"מרוץ הערבה ע""ש יוני פרידמן",21097,0.2004353346635226,-14.0,14411,0.39098126389329946,0.20825496595164172,,1320.0,2016-03-18,04:00:11,00:44:45,2685,01:36:01,5761
