Event,Date,Heat,Type,raceid,eventid,Finishers
מרוץ אבן יהודה ה-7,14/03/2015,"5 ק""מ ריצה תחרותית",5K,14581,5324,217
מרוץ אבן יהודה ה-7,14/03/2015,"2 ק""מ ריצה תחרותית",2K,14582,5324,653
Jerusalem Marathon 2015,13/03/2015,10K,10K,14575,5321,5786
Jerusalem Marathon 2015,13/03/2015,Half Marathon,חצי מרתון,14572,5321,3280
Jerusalem Marathon 2015,13/03/2015,5K,5K,14573,5321,515
Jerusalem Marathon 2015,13/03/2015,Marathon,מרתון,14574,5321,1119
מרוץ אפרת השני,06/03/2015,חצי מרתון,חצי מרתון,14535,5314,1
מרוץ אפרת השני,06/03/2015,"10 ק""מ",10K,14536,5314,1
מרוץ אפרת השני,06/03/2015,"5 ק""מ",5K,14537,5314,1
מרוץ הכלניות ה-2,27/02/2015,"20 ק""מ רכיבה תחרותית",,14457,5297,36
מרתון סמסונג תל-אביב 2015,27/02/2015,חצי מרתון,חצי מרתון,14451,5296,6419
מרוץ הכלניות ה-2,27/02/2015,"2 ק""מ ריצה תחרותית",2K,14458,5297,45
מרתון סמסונג תל-אביב 2015,27/02/2015,"10 ק""מ",10K,14452,5296,9667
מרתון סמסונג תל-אביב 2015,27/02/2015,אופני יד,,14453,5296,31
מרתון סמסונג תל-אביב 2015,27/02/2015,המרוץ למלייון,,14454,5296,357
מרוץ הכלניות ה-2,27/02/2015,"10 ק""מ ריצה תחרותית",10K,14455,5297,116
מרוץ הכלניות ה-2,27/02/2015,"5 ק""מ ריצה תחרותית",5K,14456,5297,125
מרתון סמסונג תל-אביב 2015,27/02/2015,מרתון,מרתון,14450,5296,1825
מרוץ חצרים 2015,13/02/2015,"10 ק""מ ריצה תחרותית",10K,14418,5288,174
מרוץ חצרים 2015,13/02/2015,"5 ק""מ ריצה תחרותית",5K,14419,5288,103
מרוץ חצרים 2015,13/02/2015,"21.5 ק""מ רכיבה תחרותית",,14420,5288,93
מרוץ חצרים 2015,13/02/2015,"43 ק""מ רכיבה תחרותית",,14421,5288,13
מרוץ חצרים 2015,13/02/2015,דואתלון קצר,,14422,5288,25
מרוץ חצרים 2015,13/02/2015,"2 ק""מ ריצה תחרותית",2K,14423,5288,55
מרוץ חצרים 2015,13/02/2015,חצי מרתון תחרותי,חצי מרתון,14417,5288,76
מרוץ עומר ה-34,07/02/2015,"5 ק""מ",5K,14393,5285,192
מרוץ עומר ה-34,07/02/2015,"2 ק""מ עד גיל 18",2K,14394,5285,229
מרוץ נס ציונה,07/02/2015,"10 ק""מ ריצה",10K,14388,5284,434
מרוץ נס ציונה,07/02/2015,"5 ק""מ ריצה",5K,14389,5284,246
מרוץ נס ציונה,07/02/2015,"2.5 ק""מ תחרותי עד גיל 16",5K,14390,5284,300
מרוץ עומר ה-34,07/02/2015,"21.1 ק""מ",חצי מרתון,14391,5285,79
מרוץ עומר ה-34,07/02/2015,"10 ק""מ",10K,14392,5285,73
מרוץ עיר האבות ה-7,06/02/2015,"2 ק""מ ריצה תחרותית",2K,14386,5282,51
מרתוניה פארק הירקון,06/02/2015,5 קילומטר,5K,14380,5281,136
"מרוץ ירוחם ה-2 ""בין מכתש לאגם""",06/02/2015,"10 ק""מ ריצה תחרותית",10K,14387,5283,181
מרתוניה פארק הירקון,06/02/2015,10 קילומטר,10K,14381,5281,347
מרתוניה פארק הירקון,06/02/2015,חצי מרתון,חצי מרתון,14382,5281,181
מרתוניה פארק הירקון,06/02/2015,31 קילומטר,,14383,5281,246
מרוץ עיר האבות ה-7,06/02/2015,"10 ק""מ ריצה תחרותית",10K,14384,5282,35
מרוץ עיר האבות ה-7,06/02/2015,"5 ק""מ ריצה תחרותית",5K,14385,5282,64
מרוץ הגולף קיסריה,05/02/2015,"4 ק""מ",,14395,5286,59
מרוץ הגולף קיסריה,05/02/2015,12 קמ,,14396,5286,164
מרוץ הגולף קיסריה,05/02/2015,"8 ק""מ",,14397,5286,64
מרוץ אמצע החורף,30/01/2015,"ריצה 10 ק""מ",10K,14349,5276,553
מרוץ אמצע החורף,30/01/2015,"ריצה 5 ק""מ",5K,14350,5276,174
מרוץ אמצע החורף,30/01/2015,ריצה חצי מרתון,חצי מרתון,14351,5276,287
מרוץ הערבה 2015,23/01/2015,10קמ,10K,14496,5302,131
מרוץ הערבה 2015,23/01/2015,חצי מרתון,חצי מרתון,14495,5302,81
מרתון winner טבריה 2015,09/01/2015,Marathon,מרתון,14173,5247,1850
מרתון winner טבריה 2015,09/01/2015,10km,10K,14174,5247,881
