@RELATION OutputFromProcess

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 REAL
@ATTRIBUTE attribute_15 REAL
@ATTRIBUTE attribute_16 REAL
@ATTRIBUTE attribute_17 REAL
@ATTRIBUTE attribute_18 REAL

@DATA
1165,14410,0.42551724137931035,0.13903792985424912,21097,6349,0.31457693381736945,-63.0,21097,6397,0.25838168923275306,-28.0
1167,15240,0.4568452380952381,0.042874553180702935,42195,13981,0.4036079113236253,-14.0,10000,4121,0.42433345850544496,-115.0
1168,13419,0.33367153679653677,0.12062437285902455,21097,6547,0.21597874948917042,-357.0,21097,6107,0.21011557838585398,-21.0
1169,04:12:30,15150,0.3865422821110823,04:04:53,42195,14693,0.4100013176966662,03:53:51,42195,14031,0.37569134403944826,-70.0
1170,13852,0.3870892926169308,0.04439245577137918,21097,6441,0.2902447431920028,-84.0,42195,14323,0.39514893049910044,-329.0
1171,13881,0.36492153679653677,-0.13238645580344616,42195,13022,0.33413026153734693,-14.0,42195,14458,0.6604857236626189,-98.0
1172,15346,0.5025898724391187,0.08845552823652814,42195,14527,0.43358620689655175,-49.0,42195,14316,0.3946824815086293,-364.0
1173,14762,0.4497931034482759,0.2835058169162439,15000,4469,0.15712304339211414,-273.0,10000,2739,0.17545152967194988,-7.0
1175,14307,0.38437599237853287,-0.010141706206802936,21097,6192,0.26163391933815927,-105.0,21097,7120,0.5274014778325123,-238.0
1179,14694,0.408955223880597,0.013436840814498141,21000,8048,0.4174777603349032,-364.0,42195,13999,0.3735590057972946,-70.0
1181,12403,0.28928493805694416,0.06817139059752919,10000,2664,0.15076980848666918,-115.0,42195,12615,0.2914572864321608,-249.0
1182,11821,0.2469655172413793,-0.037245007322719376,10000,2518,0.19586157688191225,-77.0,42195,13984,0.37255947224628505,-287.0
1183,13305,0.3493103448275862,0.07967965842709251,15000,4480,0.16696844283497156,-91.0,42195,13980,0.3722929299660159,-273.0
1184,15373,0.5044555531406216,0.26420764834228555,21097,6496,0.24854292205867826,-364.0,10000,3151,0.23195288753799392,-100.0
1185,14945,0.4737067733638182,-0.0978717721601367,10000,3922,0.3754533307883184,-296.0,10000,5977,0.7677037602595915,0.0
