ImprovementRate,MarathonResultInSeconds,MarathonResultInSecondsNormalized,RaceOneKM,RaceOneResultInSeconds,RaceOneResultInSecondsNormalized,TimeBetweenMarathonAndRaceOne,RaceTwoKM,RaceTwoResultInSeconds,RaceTwoResultInSecondsNormalized,TimeBetweenRaceOneAndRaceTwo,Success
0.053814983,14569,0.401016196,42195,14644,0.441655172,-70,21000,6474,0.252747253,-294,N
0.264517392,17299,0.596117424,21097,6565,0.304492704,-98,15000,4772,0.358707361,-20,N
0.193491431,16046,0.494823754,42195,13552,0.363896405,-21,21097,5993,0.238768241,-84,N
-0.014769539,15233,0.443188314,42195,15290,0.498260533,-21,42195,14296,0.417655172,-49,Y
0.027973096,16644,0.551812771,42195,14965,0.474896762,-14,42195,17101,0.572782588,-140,N
0.52230607,14716,0.702822448,21097,5785,0.214868436,-350,10000,2696,0.146164321,-182,N
0.17834846,16945,0.551921245,42195,13181,0.335214534,-21,42195,14213,0.411931034,-49,N
0.075643289,12233,0.27537931,21097,5849,0.222222222,-35,15000,4025,0.17724982,-20,N
0.131709043,14409,0.434615663,21097,6064,0.246926347,-84,15000,4773,0.358886894,-20,N
0.248257489,13637,0.525763046,42195,12442,0.278082721,-266,42195,13881,0.276928393,-98,N
0.152057473,15299,0.4990944,15000,4320,0.277558348,-104,42195,15497,0.416515505,-358,N
0.071381904,13719,0.377862069,21000,6470,0.252328624,-294,42195,13805,0.360631705,-70,N
0.104014541,14152,0.415996522,21097,6212,0.263931977,-84,42195,13796,0.360031985,-693,N
0.334221717,18100,0.7020213,10000,3319,0.353454727,-328,10000,3586,0.38214444,-364,N
0.0867372,15225,0.455830628,42195,14058,0.403015075,-378,21097,6832,0.33517178,-84,N
0.041971587,13738,0.348237536,42195,13388,0.355034483,-70,21097,6156,0.257497415,-35,N
0.068809547,12625,0.292230383,21097,5958,0.234746639,-84,15000,4267,0.212095032,-20,N
0.101901261,12017,0.260482759,21097,5367,0.166839021,-35,15000,3838,0.150323974,-20,N
0.093729859,12344,0.283034483,21097,5695,0.204527175,-35,15000,4003,0.174082073,-20,N
