@relation WekaTry2

@attribute ﻿MarathonResultInSecondsNormalized numeric
@attribute ImprovementRate numeric
@attribute RaceOneKM {5000,10000,15000,21000,21097,42195}
@attribute RaceOneResultInSecondsNormalized numeric
@attribute TimeBetweenMarathonAndRaceOne numeric
@attribute RaceTwoKM {5000,10000,15000,21000,21097,42195}
@attribute RaceTwoResultInSecondsNormalized numeric
@attribute TimeBetweenRaceOneAndRaceTwo numeric
@attribute Success {Y,N}

@data
0.5396,0.215242,42195,0.298647,-21,42195,0.350069,-49,N
0.362894,0.072885,21097,0.237111,-21,42195,0.342907,-49,N
0.541862,0.252656,21097,0.250833,-35,10000,0.327579,-28,N
0.316069,0.100129,21097,0.229576,-35,15000,0.202304,-20,N
0.29979,0.066945,21097,0.220269,-84,15000,0.245422,-20,N
0.332414,0.113989,21097,0.238194,-35,15000,0.198655,-56,N
0.545241,0.354748,21097,0.259336,-35,5000,0.121651,-42,N
0.426104,0.106577,42195,0.412828,-70,21097,0.226225,-49,N
0.267801,0.055668,42195,0.263862,-49,15000,0.160403,-55,N
0.371986,-0.001981,42195,0.351186,-21,42195,0.396748,-49,Y
0.464752,0.095428,21097,0.411266,-21,42195,0.327381,-49,N
0.326788,0.134764,15000,0.248092,-104,5000,0.135956,-10,N
0.154827,-0.174586,15000,0.306458,-21,42195,0.352369,-28,Y
0.335931,0.123526,5000,0.215647,-55,5000,0.209163,-10,N
0.306997,0.124201,21097,0.219694,-84,10000,0.145897,-16,N
0.329793,-0.015096,10000,0.239741,-48,10000,0.450038,-3,Y
0.306138,0.117611,21097,0.227738,-35,10000,0.149316,-16,N
0.352276,0.11241,21097,0.256119,-35,15000,0.223614,-20,N
0.313612,0.067704,10000,0.235202,-21,42195,0.256614,-49,N
0.420069,0.20119,21097,0.228542,-35,15000,0.209215,-20,N
0.049655,0.011069,21097,0.0478,-35,15000,0.029374,-20,N
0.326885,0.092994,15000,0.27702,-104,10000,0.190762,-11,N
0.122138,0.074004,15000,0.079194,-55,5000,0.017074,-11,N
0.135931,0.039219,21097,0.107319,-35,15000,0.086105,-20,N
0.483595,0.047843,42195,0.477821,-21,42195,0.393683,-49,N
