Marathon,RaceOne,RaceOneKM,RaceOneResultInSecondsNormalized,TimeBetweenMarathonAndRaceOne,RaceTwo,RaceTwoKM,RaceTwoResultInSecondsNormalized,TimeBetweenRaceOneAndRaceTwo,MarathonResultInSeconds,MarathonResultInSecondsNormalized,ImprovementRate,ImprovementClass
מרתוןסמסונגתל-אביב,מרוץהערבהעשיוניפרידמן,21097,0.432976601,-27,מרתוןטבריהWinner,42195,0.474010554,-22,14402,0.390129566,-0.063364012,Success
מרתוןסמסונגתל-אביב,מרתוןטבריהWinner,10000,0.253064452,-49,מרוץהתחתוניםה-6,10000,0.274149034,-7,15881,0.486424897,0.222818154,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.383358292,-21,מרתוןטבריהWinner,42195,0.472031662,-49,13601,0.339536361,-0.088158616,Success
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.34911127,-14,DesertMarathon,42195,0.740236298,-98,14368,0.397862554,-0.14681123,Success
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.530242854,-21,מרתוןטבריהWinner,42195,0.46939314,-49,15217,0.442172118,-0.057645879,Success
מרתוןסמסונגתל-אביב,InternationalTiberiasWinnerMarathon,42195,0.425192912,-47,DesertMarathon,42195,0.668198228,-51,14211,0.37769386,-0.16900171,Success
JerusalemMarathon,מרוץהגלילהעליוןה-2,15000,0.469283276,-7,מרתוןטבריהWinner,42195,0.466556728,-63,15401,0.453858368,-0.014061635,Success
מרתוןסמסונגתל-אביב,מרוץראשוןלציון,15000,0.270217603,-21,מרוץאייל,15000,0.276812635,-83,14289,0.382772316,0.109257197,Failure
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.376766632,-84,מרוץאייל,15000,0.355922469,-20,16838,0.548733642,0.182389091,Failure
מרתוןסמסונגתל-אביב,חצימרתוןהשרון,21097,0.232501224,-77,חצימרתוןעמקהמעיינות,21097,0.29288751,-7,13733,0.346572042,0.083877676,Failure
JerusalemMarathon,DesertMarathon,42195,0.952576305,-112,מרוץאייל,15000,0.504235463,-6,16417,0.536458333,-0.19194755,Success
JerusalemMarathon,מרתוןסמסונגתל-אביב,21097,0.297490697,-21,מרוץראשוןלציון,15000,0.294900942,-21,16430,0.519212448,0.223016629,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.356533628,-14,InternationalTiberiasWinnerMarathon,42195,0.428265219,-47,15329,0.46286526,0.070465836,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,21097,0.399771014,-21,מרתוןטבריהWinner,42195,0.390633245,-49,17040,0.557954906,0.162752777,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.506217853,-21,מרתוןטבריהWinner,42195,0.403825858,-49,16966,0.553255002,0.098233146,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,21097,0.308558344,-14,DesertMarathon,21097,0.281917839,-98,15780,0.493371212,0.198133121,Failure
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.264736298,-84,מרוץהלילהשלתל-אביב,10000,0.173442249,-16,14278,0.382056123,0.16296685,Failure
מרתוןסמסונגתל-אביב,מרתוןטבריהWinner,42195,0.334960422,-49,חצימרתוןעמקהמעיינות,21097,0.265425715,-35,14806,0.416433362,0.116240293,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.359875905,-35,מרוץאשדודאליפותישראל,10000,0.437131326,-31,14739,0.428693931,0.030190316,Failure
JerusalemMarathon,מרתוןטבריהWinner,42195,0.401385224,-70,חצימרתוןעמקהמעיינות,21097,0.424566242,-35,15211,0.441791045,0.028815312,Failure
מרתוןסמסונגתל-אביב,חצימרתוןהשרון,21097,0.235274922,-77,חצימרתוןעמקהמעיינות,21097,0.291508675,-7,13883,0.356338303,0.092946504,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.3834234,-21,מרתוןטבריהWinner,42195,0.366358839,-49,15786,0.478310575,0.103419455,Failure
JerusalemMarathon,מרוץהגלילהעליוןה-3,15000,0.44222361,-14,מרוץהתחתוניםה-6,10000,0.297761423,-63,15566,0.464337885,0.094345368,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.435314799,-14,DesertMarathon,42195,0.973416475,-98,16998,0.575757576,-0.128608061,Success
מרתוןסמסונגתל-אביב,מרתוןטבריהWinner,42195,0.355079156,-49,מרוץהלילהשלתל-אביב,10000,0.22606383,-51,15460,0.459014259,0.168442766,Failure
JerusalemMarathon,מרתוןטבריהWinner,42195,0.350725594,-70,חצימרתוןעמקהמעיינות,21097,0.305411927,-35,15300,0.447443633,0.119374873,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.215787659,-35,מרוץאייל,15000,0.184350323,-20,13190,0.32651715,0.126448159,Failure
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.332988625,-84,מרוץחיפה,21097,0.3168477,-28,14703,0.409727196,0.084809033,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.325542027,-21,מרתוןטבריהWinner,42195,0.255145119,-49,14467,0.394537949,0.104194375,Failure
מרתוןסמסונגתל-אביב,מרתוןטבריהWinner,42195,0.359498681,-49,חצימרתוןעמקהמעיינות,21097,0.236929794,-35,13818,0.352106257,0.053892019,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.350283222,-14,DesertMarathon,42195,0.574335412,-98,13989,0.372226732,-0.090082585,Success
DesertMarathon,מרוץאייל,15000,0.212921752,-6,מרוץהלילהשלתל-אביב,10000,0.189072475,-11,15648,0.855759764,0.654762651,Failure
מרתוןסמסונגתל-אביב,מרתוןטבריהWinner,42195,0.380738786,-49,חצימרתוןעמקהמעיינות,21097,0.265310812,-35,15851,0.484471645,0.161446846,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,21097,0.440606812,-21,מרתוןטבריהWinner,42195,0.412796834,-49,16115,0.499206097,0.072504274,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.277036265,-14,DesertMarathon,42195,0.742861831,-98,13370,0.330357143,-0.179591905,Success
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.317476732,-84,מרוץחיפה,21097,0.312456667,-28,15308,0.449117781,0.134151081,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.297943238,-35,מרוץאייל,15000,0.27609476,-20,14999,0.445844327,0.158825328,Failure
מרתוןסמסונגתל-אביב,מרוץראשוןלציון,15000,0.245209484,-21,מרתוןטבריהWinner,42195,0.459630607,-28,14690,0.408880787,0.056460741,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.322187751,-35,מרוץהלילהשלתל-אביב,10000,0.179711246,-16,14815,0.433707124,0.182757625,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,21097,0.241675413,-21,מרתוןטבריהWinner,42195,0.391490765,-49,15479,0.458812321,0.142229232,Failure
מרתוןסמסונגתל-אביב,מרוץאייל,15000,0.175017947,-104,מרוץחיפה,21097,0.182574532,-8,13664,0.342079562,0.163283323,Failure
מרתוןסמסונגתל-אביב,מרתוןטבריהWinner,42195,0.227242744,-49,חצימרתוןעמקהמעיינות,21097,0.185912904,-35,11913,0.228074744,0.021496921,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.190164311,-35,מרוץהלילהשלתל-אביב,10000,0.128039514,-16,11446,0.211477573,0.05237566,Failure
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.206365621,-84,מרוץחיפה,21097,0.180032355,-28,11953,0.230679081,0.037480093,Failure
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.136964265,-84,מרוץאייל,15000,0.11873654,-20,11416,0.195715867,0.067865464,Failure
מרתוןסמסונגתל-אביב,מרתוןטבריהWinner,42195,0.265237467,-49,חצימרתוןעמקהמעיינות,21097,0.177180283,-35,12238,0.249234976,0.028026101,Failure
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.12489946,-84,מרוץאייל,15000,0.106963388,-20,12177,0.245263364,0.129331939,Failure
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.169481788,-84,מרוץהספארירמתגןעשדודמלמדוביץ,10000,0.178291936,-28,11300,0.188163292,0.01427643,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,21097,0.216486976,-21,מרתוןטבריהWinner,42195,0.260224274,-49,14094,0.370847888,0.132492263,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.234325151,-21,מרתוןטבריהWinner,42195,0.25237467,-49,12209,0.251127342,0.007777431,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.14701478,-14,חצימרתוןעמקהמעיינות,21097,0.123520625,-84,10983,0.16889881,0.033631107,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.211651155,-35,ספורטיאדהריצהואופנייםיוםI,5000,0.103087649,-30,11839,0.237401055,0.080031653,Failure
מרתוןסמסונגתל-אביב,InternationalTiberiasWinnerMarathon,42195,0.199199771,-47,מרוץאייל,15000,0.301363963,-57,10520,0.137378736,-0.112903131,Success
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.175341836,-84,מרוץאייל,15000,0.218377602,-20,11508,0.20170584,0.004846121,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.163277031,-35,מרוץאשדודאליפותישראל,5000,0.051222352,-31,11462,0.212532982,0.10528329,Failure
מרתוןטבריהWinner,מרוץהלילהשלתל-אביב,10000,0.469794833,-51,מרוץאייל,15000,0.484134961,-4,13554,0.350527704,-0.126437192,Success
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.180742273,-35,מרוץאייל,15000,0.153768844,-20,11982,0.246833773,0.079578215,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.294550426,-21,מרוץהערבהעשיוניפרידמן,10000,0.01183432,-27,12771,0.286821213,0.13362884,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.137768586,-35,מרוץהלילהשלתל-אביב,10000,0.075987842,-16,11351,0.205211082,0.098332868,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.242463702,-21,מרתוןטבריהWinner,42195,0.22671504,-49,12662,0.27989838,0.04530901,Failure
מרתוןטבריהWinner,מרוץהלילהשלתל-אביב,10000,0.189019757,-51,מרוץאייל,15000,0.165541996,-4,11321,0.20323219,0.025951314,Failure
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.158795818,-84,מרוץאייל,15000,0.146590093,-20,11340,0.190767628,0.038074673,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.175456739,-35,מרוץאייל,15000,0.149892319,-20,11989,0.247295515,0.084620986,Failure
מרתוןסמסונגתל-אביב,מרתוןטבריהWinner,42195,0.161807388,-49,מרוץאייל,15000,0.130796841,-55,10791,0.155023113,0.008720999,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,21097,0.18614636,-21,מרתוןטבריהWinner,42195,0.222361478,-49,12210,0.251190854,0.046936935,Failure
מרתוןטבריהWinner,מרוץהתחתוניםה-6,5000,0.083269672,-7,חצימרתוןעמקהמעיינות,21097,0.178214409,-28,11611,0.222361478,0.091619437,Failure
מרתוןסמסונגתל-אביב,מרתוןטבריהWinner,42195,0.185158311,-49,חצימרתוןעמקהמעיינות,21097,0.146731012,-35,10979,0.167263494,0.001318832,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.214271762,-14,DesertMarathon,42195,0.402855267,-98,12076,0.242830087,-0.065733428,Success
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.129150868,-35,מרוץאשדודאליפותישראל,10000,0.140639553,-31,10816,0.169920844,0.035025634,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.12133747,-35,מרוץהלילהשלתל-אביב,10000,0.194908815,-16,10822,0.170316623,0.01219348,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.164081351,-35,חצימרתוןחיפהה-19,21097,0.214884111,-28,11352,0.205277045,0.015794314,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.142594508,-35,מרוץאייל,15000,0.11988514,-20,10777,0.167348285,0.036108461,Failure
JerusalemMarathon,חצימרתוןעמקהמעיינות,21097,0.170515914,-98,מרוץאייל,15000,0.135534817,-20,12268,0.2558171,0.102791734,Failure
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.136734459,-84,מרוץאייל,15000,0.117731515,-20,10738,0.151572368,0.024339381,Failure
מרתוןסמסונגתל-אביב,מרתוןטבריהWinner,42195,0.168469657,-49,חצימרתוןעמקהמעיינות,21097,0.126048489,-35,11015,0.169607396,0.022348323,Failure
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.142019993,-84,מרוץאייל,15000,0.120890165,-20,11021,0.169998047,0.038542968,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.085832472,-35,מרוץאייל,15000,0.066475233,-20,9840,0.105540897,0.029387045,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.134206595,-35,מרוץאייל,15000,0.11643934,-20,10664,0.159894459,0.034571492,Failure
מרתוןסמסונגתל-אביב,מרתוןטבריהWinner,42195,0.244063325,-49,חצימרתוןעמקהמעיינות,21097,0.140181547,-35,11283,0.187056449,-0.005065987,Success
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.170515914,-35,מרוץאייל,15000,0.08040201,-20,11352,0.205277045,0.079818083,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,21097,0.351493178,-14,DesertMarathon,21097,0.008858377,-98,11044,0.173024892,-0.007150886,Success
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.11501781,-35,מרוץאייל,15000,0.096913137,-20,10262,0.133377309,0.027411835,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.121682179,-35,מרוץאייל,15000,0.100933238,-20,10701,0.162335092,0.051027384,Failure
מרתוןטבריהWinner,המרתוןהמדבריאילת,42195,0.056577697,-49,בשבילהבניםהדרוזים,15000,0.080534083,-56,10449,0.145712401,0.077156511,Failure
מרתוןסמסונגתל-אביב,מרוץראשוןלציון,15000,0.094673595,-21,מרתוןטבריהWinner,42195,0.145844327,-28,10372,0.127742692,0.00748373,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.148799265,-35,מרוץספארירמת-גן,10000,0.189587074,-21,11428,0.210290237,0.041097068,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.108008733,-35,חצימרתוןחיפהה-19,21097,0.127338732,-28,10250,0.132585752,0.01491202,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.104561645,-35,מרוץאייל,15000,0.08126346,-20,10059,0.119986807,0.027074255,Failure
מרתוןטבריהWinner,מרוץהלילהשלתל-אביב,10000,0.212386018,-51,מרוץאייל,15000,0.114285714,-4,11658,0.225461741,0.062125875,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.740998763,-14,InternationalTiberiasWinnerMarathon,42195,0.69998571,-47,21195,0.859645563,0.139153326,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.503222866,-21,חצימרתוןעמקהמעיינות,21097,0.353786051,-84,17548,0.590219117,0.161714659,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,21097,0.416944948,-14,חצימרתוןהשרון,21097,0.521618535,-91,18700,0.690882035,0.221600293,Failure
המרתוןהמדבריאילת,מרוץאייל,15000,0.345585068,-6,מרוץחבר,15000,0.243016037,-36,18425,0.669430768,0.375130215,Failure
מרתוןסמסונגתל-אביב,מרוץראשוןלציוןאליפותהארץל15קמ,15000,0.394259819,-21,מרתוןטבריהWinner,42195,0.590765172,-28,15703,0.474835601,-0.017676894,Success
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.686568136,-14,חצימרתוןעמקהמעיינות,21097,0.480868666,-84,18575,0.682426948,0.098708547,Failure
מרתוןסמסונגתל-אביב,מרוץראשוןלציוןאליפותהארץל15קמ,15000,0.481495468,-21,מרתוןטבריהWinner,42195,0.592282322,-28,17433,0.587473143,0.050584248,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.343967706,-21,מרתוןטבריהWinner,10000,0.155199684,-49,15581,0.465290568,0.215706873,Failure
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.356543721,-84,מרוץהלילהשלתל-אביב,10000,0.232902736,-16,16915,0.553746989,0.259023761,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.228541882,-35,מרוץהלילהשלתל-אביב,10000,0.294452888,-16,13739,0.362730871,0.101233486,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.54306921,-21,מרוץראשוןלציון,15000,0.348489769,-21,17881,0.611368688,0.165589199,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.619246045,-14,DesertMarathon,21097,0.444247592,-98,19014,0.712121212,0.180374394,Failure
JerusalemMarathon,חצימרתוןעמקהמעיינות,21097,0.390325175,-98,מרוץאייל,15000,0.359224695,-20,19427,0.740056818,0.365281883,Failure
מרתוןטבריהWinner,מרוץחבר,15000,0.398603207,-91,בשבילהבניםהדרוזים,15000,0.471117358,-14,17991,0.643205805,0.208345522,Failure
מרתוןטבריהWinner,חצימרתוןהשרון,21097,0.498613151,-28,מרוץהלילהשלתל-אביב,10000,0.2931231,-23,19282,0.728364116,0.332495991,Failure
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.348040905,-84,מרוץאייל,15000,0.31902369,-20,15623,0.469626929,0.136094631,Failure
מרתוןסמסונגתל-אביב,מרוץהתחתוניםה-6,10000,0.860472248,-56,חצימרתוןעמקהמעיינות,21097,0.399977019,-28,18681,0.668728433,0.038503799,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.705905332,-21,מרתוןטבריהWinner,42195,0.767875989,-49,20240,0.76119403,0.024303369,Failure
DesertMarathon,מרוץחיפה,10000,0.229030213,-14,מרוץהלילהשלנהריה,10000,0.292535051,-24,15550,0.839678372,0.57889574,Failure
מרתוןסמסונגתל-אביב,מרוץראשוןלציון,15000,0.305618707,-21,חצימרתוןעמקהמעיינות,21097,0.350683672,-63,15318,0.449768865,0.121617675,Failure
מרתוןסמסונגתל-אביב,מרתוןטבריהWinner,42195,0.649472296,-49,חצימרתוןעמקהמעיינות,21097,0.385039642,-35,17975,0.622761899,0.10550593,Failure
מרתוןסמסונגתל-אביב,מרתוןטבריהWinner,42195,0.775527704,-49,חצימרתוןחיפהה-19,21097,0.811225915,-63,20378,0.779217397,-0.014159413,Success
JerusalemMarathon,מרתוןטבריהWinner,10000,0.284697509,-70,המרתוןהמדבריאילת,42195,0.79727045,-49,17845,0.609082248,0.068098269,Failure
מרתוןסמסונגתל-אביב,מרוץאייל,15000,0.385929648,-104,מרוץהלילהשלתל-אביב,10000,0.331768682,-11,18277,0.642424637,0.283575472,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.606094147,-14,מרוץאייל,15000,0.433883704,-104,19176,0.723079004,0.203090079,Failure
מרתוןסמסונגתל-אביב,מרוץאייל,15000,0.472792534,-104,מרוץהלילהשלתל-אביב,10000,0.558580548,-11,17702,0.604987304,0.089300763,Failure
מרתוןסמסונגתל-אביב,מרתוןטבריהWinner,42195,0.77974934,-49,מרוץהלילהשלתל-אביב,10000,0.44699848,-51,20475,0.785532912,0.172159002,Failure
מרתוןסמסונגתל-אביב,מרתוןטבריהWinner,42195,0.828034301,-49,חצימרתוןעמקהמעיינות,21097,0.671032977,-35,20961,0.817175597,0.067641958,Failure
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.347926003,-84,מרוץאייל,15000,0.28011486,-20,15678,0.473207891,0.15918746,Failure
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.137079168,-84,מרוץאייל,15000,0.11902369,-20,11422,0.196106517,0.068055088,Failure
מרתוןסמסונגתל-אביב,מרוץראשוןלציון,15000,0.661416044,-21,מרוץהתחתוניםה-6,10000,0.77215578,-35,21780,0.870499381,0.153713469,Failure
מרתוןסמסונגתל-אביב,מרתוןטבריהWinner,42195,0.780540897,-49,חצימרתוןעמקהמעיינות,21097,0.621624727,-35,20525,0.788788333,0.08770552,Failure
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.396070321,-84,מרוץאייל,15000,0.55793252,-20,19484,0.721010482,0.244009062,Failure
JerusalemMarathon,מרוץהגלילהעליוןה-3,15000,0.555590256,-14,חצימרתוןעמקהמעיינות,21097,0.421463863,-91,19031,0.684407748,0.195880689,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.630119148,-14,חצימרתוןעמקהמעיינות,21097,0.342640469,-84,21092,0.852678571,0.366298763,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.512793802,-21,מרתוןטבריהWinner,42195,0.656398417,-49,17786,0.605335027,0.020738918,Failure
מרתוןטבריהWinner,המרתוןהמדבריאילת,42195,0.242290749,-49,מרוץכוכביאירצוריגאל,10000,0.218639149,-14,12692,0.293667546,0.063202597,Failure
מרתוןסמסונגתל-אביב,מרתוןטבריהWinner,42195,0.458509235,-49,חצימרתוןעמקהמעיינות,21097,0.24979892,-35,15324,0.450159516,0.096005438,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.553095905,-14,מרוץאייל,15000,0.277099785,-104,16618,0.550054113,0.134956268,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.072159026,-35,המרתוןהמדבריאילת,21097,0.016652702,-14,9603,0.089907652,0.045501788,Failure
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.099046306,-84,מרוץאייל,15000,0.091888011,-20,10937,0.164528941,0.069061782,Failure
מרתוןטבריהWinner,מרוץהתחתוניםה-6,10000,0.074210365,-7,מרוץאייל,15000,0.097774587,-48,10647,0.158773087,0.072780611,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,10000,0.082194346,-21,מרוץראשוןלציון,15000,0.122117571,-21,10857,0.165258812,0.063102854,Failure
מרתוןסמסונגתל-אביב,מרתוןטבריהWinner,42195,0.151319261,-49,מרוץהלילהשלתל-אביב,10000,0.24506079,-51,14874,0.420860733,0.222670707,Failure
מרתוןטבריהWinner,מרוץאייל,15000,0.162670495,-55,מרוץביתיצחק,10000,0.109230149,-29,11680,0.226912929,0.090962607,Failure
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.19131334,-84,מרוץאשדודאליפותישראל,10000,0.221670289,-31,12164,0.244416954,0.03792514,Failure
מרתוןטבריהWinner,מרוץאייל,15000,0.203876525,-55,בשבילהבניםהדרוזים,10000,0.156342767,-50,15039,0.44848285,0.268373204,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.217462074,-21,חצימרתוןעמקהמעיינות,21097,0.221992416,-84,12387,0.262432518,0.042705273,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.200965184,-35,מרוץאייל,15000,0.177458722,-20,12596,0.287335092,0.098123139,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,21097,0.19387463,-21,מרתוןטבריהWinner,10000,0.163701068,-49,12864,0.29272785,0.113940001,Failure
מרתוןטבריהWinner,מרוץהתחתוניםה-6,10000,0.214044772,-7,חצימרתוןעמקהמעיינות,21097,0.225554407,-28,12665,0.291886544,0.072086955,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,21097,0.418280698,-21,מרתוןטבריהWinner,10000,0.501383946,-49,16968,0.553382026,0.093549704,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.604159485,-35,מרוץאייל,15000,0.652117732,-20,21746,0.890897098,0.262758489,Failure
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.106514995,-84,מרוץאייל,15000,0.085714286,-20,11341,0.190832737,0.094718096,Failure
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.482247501,-84,מרוץאייל,15000,0.423833453,-20,16754,0.543264535,0.090224059,Failure
InternationalTiberiasWinnerMarathon,חצימרתוןעמקהמעיינות,21097,0.320579111,-37,מרוץהלילהשלתל-אביב,10000,0.242020278,-31,14618,0.450342955,0.169043261,Failure
JerusalemMarathon,מרוץהגלילהעליוןה-2,15000,0.53534861,-7,מרתוןטבריהWinner,10000,0.258402531,-63,15756,0.476405208,0.079529637,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.42491095,-35,מרוץהלילהשלתל-אביב,10000,0.299202128,-16,12041,0.250725594,-0.111330945,Success
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.211191543,-35,מרוץאייל,15000,0.185355348,-20,12462,0.278496042,0.080222597,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,21097,0.349584963,-21,מרוץראשוןלציון,15000,0.265021111,-21,15309,0.448015243,0.140712206,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.254854648,-35,חצימרתוןאשכולגלילמערבי,21097,0.255319149,-56,15305,0.466029024,0.210942125,Failure
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.394231874,-84,מרוץאייל,15000,0.156066045,-20,12446,0.262777525,-0.012371435,Success
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.064690337,-35,מרוץאייל,15000,0.037042355,-20,9543,0.085949868,0.035083522,Failure
המרתוןהמדבריאילת,מרוץספארירמת-גן,10000,0.504129264,-7,מרוץאשדודאליפותישראל,10000,0.477491462,-10,18501,0.675995508,0.185185145,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.212253402,-14,DesertMarathon,42195,0.614867082,-98,12295,0.257643398,-0.155916844,Success
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.281268312,-14,חצימרתוןעמקהמעיינות,21097,0.237619212,-84,13391,0.331777597,0.072333836,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.302949411,-21,המרתוןהמדבריאילת,42195,0.356396303,-98,14255,0.381073357,0.0514005,Failure
מרתוןסמסונגתל-אביב,מרתוןטבריהWinner,42195,0.445844327,-49,חצימרתוןעמקהמעיינות,21097,0.273698725,-35,14154,0.373982681,0.014211155,Failure
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.322187751,-84,מרוץהלילהשלתל-אביב,10000,0.220991363,-31,16151,0.504004167,0.23241461,Failure
מרתוןסמסונגתל-אביב,המרתוןהמדבריאילת,21097,0.335777126,-98,מרוץאייל,15000,0.381478823,-6,15842,0.48388567,0.125257695,Failure
מרתוןסמסונגתל-אביב,המרתוןהמדבריאילת,21097,0.359132803,-98,מרוץהלילהשלתל-אביב,10000,0.302431611,-2,15352,0.451982551,0.121200344,Failure
מרתוןסמסונגתל-אביב,חצימרתוןהשרון,21097,0.319627998,-91,מרוץהלילהשלתל-אביב,10000,0.220991363,-24,14604,0.403281464,0.132971783,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,10000,0.403295263,-21,מרתוןטבריהWinner,42195,0.459894459,-49,16276,0.509431566,0.077836704,Failure
מרתוןטבריהWinner,מרוץאייל,15000,0.615649677,-55,מרוץחבר,15000,0.239265391,-36,14821,0.434102902,0.006645369,Failure
