Marathon,RaceOne,RaceOneKM,RaceOneResultInSecondsNormalized,TimeBetweenMarathonAndRaceOne,RaceTwo,RaceTwoKM,RaceTwoResultInSecondsNormalized,TimeBetweenRaceOneAndRaceTwo,MarathonResultInSeconds,MarathonResultInSecondsNormalized,ImprovementRate,ImprovementClass
מרתוןסמסונגתל-אביב,מרוץראשוןלציון,15000,0.221825268,-21,מרתוןטבריהWinner,42195,0.407915567,-28,11386,0.193762615,-0.121107803,Success
מרתוןסמסונגתל-אביב,DesertMarathon,42195,0.446504759,-98,מרוץהלילהשלתל-אביב,10000,0.149079985,-17,12490,0.265642294,-0.032150077,Success
JerusalemMarathon,מרתוןסמסונגתל-אביב,10000,0.423328965,-21,מרתוןטבריהWinner,42195,0.352110818,-49,14665,0.407113369,0.019393478,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.221992416,-35,מרוץאייל,15000,0.216511127,-20,14929,0.441226913,0.221975141,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.350218113,-14,חצימרתוןעמקהמעיינות,21097,0.269677123,-84,14200,0.386498918,0.0765513,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.233367804,-35,חצימרתוןחיפהה-19,21097,0.298380341,-28,12398,0.274274406,0.008400334,Failure
מרתוןסמסונגתל-אביב,DesertMarathon,42195,0.612569741,-98,מרוץהלילהשלתל-אביב,10000,0.49380398,-17,12757,0.283026239,-0.270160622,Success
מרתוןטבריהWinner,המרתוןהמדבריאילת,21097,0.138144114,-49,מרוץגיא,5000,0.102296451,-55,12480,0.279683377,0.159463095,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.58512924,-21,מרתוןטבריהWinner,42195,0.298878628,-49,13552,0.336424262,-0.105579672,Success
מרתוןסמסונגתל-אביב,מרוץראשוןלציוןאליפותהארץל15קמ,15000,0.3081571,-21,מרתוןטבריהWinner,42195,0.34848285,-28,13718,0.345595416,0.017275442,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.407578618,-14,חצימרתוןעמקהמעיינות,21097,0.21934965,-84,15059,0.444602273,0.131138139,Failure
InternationalTiberiasWinnerMarathon,חצימרתוןעמקהמעיינות,21097,0.233023095,-37,מרוץאייל,15000,0.177458722,-20,12734,0.315733067,0.110492158,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,21097,0.542600897,-21,חצימרתוןהשרון,21097,0.125958558,-77,15736,0.475134963,0.140855236,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.240032173,-35,מרוץאייל,15000,0.183345298,-20,12595,0.287269129,0.075580394,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.250862686,-21,מרתוןטבריהWinner,42195,0.256662269,-49,13406,0.327151477,0.073388999,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.369757555,-35,המרתוןהמדבריאילת,42195,0.640753218,-14,12439,0.276978892,-0.228276494,Success
מרתוןסמסונגתל-אביב,מרתוןטבריהWinner,42195,0.304287599,-49,חצימרתוןעמקהמעיינות,21097,0.208548776,-35,12731,0.28133342,0.024915233,Failure
InternationalTiberiasWinnerMarathon,מרוץאלישעדגניהב,5000,0.054676259,-22,חצימרתוןעמקהמעיינות,21097,0.225209698,-15,15782,0.533509574,0.393566596,Failure
JerusalemMarathon,InternationalTiberiasWinnerMarathon,42195,0.332452129,-61,חצימרתוןעמקהמעיינות,21097,0.232333678,-37,13305,0.325960498,0.043567594,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.275343447,-21,מרתוןטבריהWinner,42195,0.383047493,-49,14695,0.409018736,0.079823266,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.295070665,-35,מרוץאייל,15000,0.241349605,-20,13161,0.324604222,0.056394086,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.293347122,-35,מרוץאייל,15000,0.234601579,-20,14738,0.428627968,0.164653618,Failure
מרתוןטבריהWinner,מרוץהתחתוניםה-6,10000,0.250229991,-7,חצימרתוןעמקהמעיינות,21097,0.278065035,-28,13455,0.343997361,0.079849849,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.205742561,-14,חצימרתוןעמקהמעיינות,21097,0.230380329,-84,15446,0.470779221,0.252717776,Failure
JerusalemMarathon,מרתוןטבריהWinner,42195,0.272295515,-70,חצימרתוןעמקהמעיינות,21097,0.224635183,-35,13599,0.339409336,0.090943987,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.243049678,-21,מרתוןטבריהWinner,42195,0.25171504,-49,13405,0.327087964,0.079705606,Failure
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.20395266,-84,מרוץאייל,15000,0.170423546,-20,14214,0.377889185,0.190701082,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.304577121,-14,חצימרתוןעמקהמעיינות,21097,0.195334942,-84,13613,0.346793831,0.0968378,Failure
DesertMarathon,מרוץאייל,15000,0.188226849,-6,מרוץהלילהשלתל-אביב,10000,0.113218175,-11,14007,0.586478503,0.435755992,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.299563774,-21,מרתוןטבריהWinner,42195,0.34525066,-49,14642,0.405652588,0.083245371,Failure
